team_name,model_name,model_abbr,model_contributors,website_url,license,team_model_designation,methods,data_inputs,methods_long,team_funding,citation,repo_url,twitter_handles,institution_affil,this_model_is_an_ensemble
Auquan Data Science,MLOptimizedModifiedSEIR,Auquan-SEIR,"Vishal Tomar <vishal@auquan.com>, Chandini Jain <chandini@auquan.com>",https://covid19-infection-model.auquan.com/,cc-by-4.0,primary,Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.,"JHU reported daily deaths, reported daily confirmed cases, population","We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",NA,NA,NA,NA,NA,NA
BPagano,RtDriven,BPagano-RtDriven,Bob Pagano (rjpagano@comcast.net),https://bobpagano.com,cc-by-4.0,primary,Projects infections and deaths for 223 locations using an SIR model.,CSSE at John Hopkins and covidtracking.com,"On our website we present daily projections for infections and deaths for 108 countries, 52 US states/territories,   and 63 US counties. For the US we calculate mortality rates by US region and time based on the ages of people infected in a given region. We provide the following data as a function of time and place: cumulative and daily confirmed cases, cumulative and daily deaths, confirmed case-based and death-based effective transmission ratios, fraction of populations infected and constant infections transmission ratio, probability of Covid-19 contact, mortality and undercount, and fraction of positive tests. Our projections are driven by the effective transmission ratio, Rt. More specifically we run an SIR model using deaths and another using cases resulting in Rt for deaths and Rt for cases. We use the average of these two as the starting point or driver for our projections (new: 20-10-18). For forecast how Rt will change with time, we analyze Rt change data through the course of the pandemic and apply a model of that characteristic behavior to forecast infections and deaths. UPDATE 20-10-18: Changed Rt forecast from Rt for deaths to the average of Rt for deaths and Rt for cases. UPDATE 20-10-25: Changed from Sunday forecast to the average of Friday, Saturday and Sunday forecasts. UPDATE 20-11-08: Corrected undercount calculation approach resulting in an increase in forecasted cases.",None,https://bobpagano.com/covid-19-modeling/,NA,NA,NA,NA
"Center for Disease Dynamics, Economics & Policy",SEIR_Markov_Chain_Monte_Carlo,CDDEP-SEIR_MCMC,"Eili Klein < klein@cddep.org>, Gary Lin < glin15@jhu.edu>, Yupeng Yang <yang@cddep.org>",https://cddep.org/,cc-by-4.0,primary,County-level SEIR model forecasts of incident (weekly) cases number by fitting predicted cases to the observations.,NYTimes time-series cases and deaths data,"We break down the SEIR model into 7 compartments:  Susceptible individuals (S),  Exposed individuals (E),  Contagious individuals who are asymptomatic or mildly symptomatic (C),  Infected with moderate or non-severe symptoms (I_N),  Infected with severe symptoms (I_S),  Recovered (R) and Deaths (D). 
We fit our model using the Markov Chain Monte Carlo (MCMC) sampling method in each county to estimate  the parameters set (alpha, beta, mu, h, gamma, theta, delta...). We start with the initial parameters set  from other studies and iterate the set in the model by calculating and comparing the likelihood values between  the real cases and projected cases, finally we get our best projected curve (with 95% confidence interval) which  has minimum sum of squared residuals (SSR).",NA,NA,NA,NA,NA,NA
University of Georgia Center for the Ecology of Infectious Diseases Forecasting Working Group,Walk,CEID-Walk,Eamon O'Dea (CEID) <odea35@gmail.com>,https://github.com/e3bo/random-walks,cc-by-4.0,primary,We use a random walk model without drift. The last few observations of a target time series are used to estimate the variance in step size of the random walk.,Johns Hopkins CSSE case and death data,NA,NA,NA,NA,NA,NA,NA
Carnegie Mellon Delphi Group,TimeSeries,CMU-TimeSeries,"Alden Green (Lead modeler - state, Carnegie Mellon University), <ajgreen@andrew.cmu.edu>, Addison Hu (Co-lead modeler - county, Carnegie Mellon University), Maria Jahja (Co-lead modeler - county, Carnegie Mellon University), Valerie Ventura (Carnegie Mellon University), Larry Wasserman (Carnegie Mellon University), Rob Tibshirani (Stanford University), Vishnu Shankar (Stanford University), Jacob Bien (University of Southern California), Logan Brooks (Carnegie Mellon University), Balasubramanian Narasimhan (Stanford University), Samyak Rajanala (Stanford University), Aaron Rumack (Carnegie Mellon University), Noah Simon (University of Washington), James Sharpnack (UC Davis), Daniel McDonald (University of British Columbia), Ryan Tibshirani (Senior author, Carnegie Mellon University), and the Delphi COVID-19 Response Team",https://delphi.cmu.edu,cc-by-4.0,primary,"(State) A basic AR-type time series model fit using case counts and deaths as features. (County) Quantile regr. on county pop., case counts, self-reported symptom data, and doctor's visits.",JHU CSSE confirmed case counts and deaths,"State level - A basic AR-type time series model fit using lagged values of case  counts and deaths as features. No assumptions are made regarding reopening or governmental interventions. The model is jointly fit across all 50 US states, after some time-alignment is performed as a preprocessing step to facilitate comparison between states. Heavier weight is placed on more recent training data, to account for nonstationarity in the underlying process. A lasso penalty is added to induce variable selection and prevent overfitting. Quantiles are computed using a residual (Gaussian) bootstrap, separately for each location. County level - A quantile regression model fit jointly across selected counties using (1)  case counts, (2) self-reported COVID symptom rates, (3) doctor's visits rates related to  COVID symptoms, and (4) county population.  Features (1-3) are taken at various lags.  Furthermore, the slopes of features (1-3) are computed over the preceding month and  included in the model to provide a sense of the virus's momentum.  Signals (2-3) are  available as indicators through Delphi COVIDcast (http://covidcast.cmu.edu). Signal (2)  is administered with the support of Facebook. No assumptions are made regarding reopening  or governmental interventions.","CDC Center of Excellence, gifts from Google and Facebook",NA,NA,NA,NA,NA
COVID-19 Forecast Hub,baseline,COVIDhub-baseline,"Evan L. Ray <elray@umass.edu>, Ryan Tibshirani",https://covid19forecasthub.org/,cc-by-4.0,secondary,This model is a baseline predictive model.,cumulative and incident deaths or cases,"For predictions of incidence, the median prediction at all future horizons is the most recent observed incidence.  Predictions of cumulative counts are derived from predictions of incidence; this means that the slope of the predictive medians for cumulative quantities from one week to the next will be constant and equal to the last observed slope.  To get a distribution around the median, we look at how much incidence has changed from week to week in the past, and we allow for the possibility that similar changes will occur again in the future.
In more technical detail, forecasts of incidence are generated through the following procedure: 1) Calculate first differences of incidence; 2) Collect all first differences and their negatives; 3) Sample first differences in incidence and add to the most recent observed incidence; 4) Enforce that the mean of the predictive distribution for incidence is equal to the most recent observed incidence; 5) truncate the predictive distribution for incidence at 0.  Forecasts of cumulative quantities are obtained by adding forecasts of incidence to the last observed cumulative value.",This model's development is funded by the US CDC grant number U01IP001122. The content is solely the responsibility of the authors and does not necessarily represent the official views of NIGMS or the National Institutes of Health.,NA,https://github.com/reichlab/covidModels,"reichlab, jaradniemi",NA,NA
COVID-19 Forecast Hub,ensemble,COVIDhub-ensemble,"Nutcha Wattanachit, Evan L. Ray, Nicholas Reich <nick@schoolph.umass.edu>",https://covid19forecasthub.org/,cc-by-4.0,primary,"An ensemble, or model average, of submitted forecasts to the COVID-19 Forecast Hub.",cumulative and incident death forecasts from other models.,"April 13: At state level, only two models included in first week, LANL and IHME, due to overlaps in location and reported quantiles. At national level, IHME was combined with the three CU models. April 27: Different component models at state level and national level. Please see the model information file for more details. May 4: National ensemble combined 7 models, state ensembles combined between 2 and 8 models. For details, see ensemble-metadata/state-weight-information.csv All ensembles were equally weighted among all eligible models. May 19: See ensemble-metadata/2020-05-19-model-eligibility.csv for models included/excluded at each location with reasons, and ensemble-metadata/2020-05-19-model-weights.csv for weights by location. May 26: See ensemble-metadata folder for models included/excluded in each location, and weights by location. July 28: switched to using a per-quantile median prediction across all eligible models. For cumulative deaths, we still implemented the automated checks that the 10th percentile of the 1-week ahead predictive distribution must be at least the most recent observed cumulative death, and the quantiles must be non-decreasing over time at each quantile level. We did not eliminate any models based on visual misalignment with the reference JHU data this week.",This model's development is funded by the US CDC grant number U01IP001122. The content is solely the responsibility of the authors and does not necessarily represent the official views of NIGMS or the National Institutes of Health.,NA,https://github.com/reichlab/covid19-forecast-hub,"reichlab, jaradniemi",NA,NA
Columbia University,nochange,CU-nochange,"Sen Pei, Teresa Yamana, Sasikiran Kandula, Wan Yang, Marta Galanti, Jeffrey Shaman <jls106@cumc.columbia.edu>",https://blogs.cuit.columbia.edu/jls106/publications/covid-19-findings-simulations/,apache-2.0,other,This metapopulation county-level SEIR model assumes that current contact rates will remain unchanged in the future.,USAFACTS County-level confirmed cases and deaths,"This Metapopulation county-level SEIR model assumes that current contact rates will remain unchanged in the future. Estimates of spatio-temporal COVID-19 infections, hospitalizations and deaths were  calculated for all US counties. ",Supported by US NIH grant GM110748 and US NSF RAPID grant DMS2027369,https://doi.org/10.1101/2020.03.21.20040303,https://github.com/shaman-lab/COVID-19Projection,NA,NA,NA
Columbia University,scenario_high,CU-scenario_high,"Sen Pei, Teresa Yamana, Sasikiran Kandula, Wan Yang, Marta Galanti, Jeffrey Shaman <jls106@cumc.columbia.edu>",https://blogs.cuit.columbia.edu/jls106/publications/covid-19-findings-simulations/,apache-2.0,other,"We produce different intervention scenarios, assuming various interventions and rates of compliance are implemented in the future. This projection assumes relatively high transmission.",USAFACTS County-level confirmed cases and deaths,"This metapopulation county-level SEIR model makes projections of future COVID-19 incidence and deaths.  We produce a number of different intervention scenarios, each assuming various interventions and rates of compliance are implemented in the future. November 8 - present: 'season4': This scenario assumes seasonal changes to R(t). In the summer months, it assumed a seasonal decrease in disease transmission leading to a weekly 4% decrease in reproductive number R(t). In the winter, it assumes a weekly 2% increase in reproductive number R(t). October 4 - November 5: '5_2xhold' This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection. August 23 - September 27:'1x5p' We project a one-time 5% increase in contact rates due to loosening restrictions as states continue to reopen economically, applied at the beginning of the projection. July18 - August 22: '5_2xhold' This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection. June 14 - July 18: '1x5p' We project a one-time 5% increase in contact rates due to loosening restrictions as states continue to reopen economically, applied at the beginning of the projection. May 3 - June 7: '80contact1x10p' For states maintaining or increasing current social distancing restrictions, we apply a 20% weekly reductions of contact rates, as described above. However, in states that reopen, we apply an increase to the contact rates of counties in those states. In the first scenario, we apply a one-time 10% increase to the contact rates during the week that the state is scheduled to reopen and maintain these new increased rates for the remainder of the projection. April 12 - April 26: '80contact' This scenario mimics adaptive adjustments in contact imposed both by government regulations (e.g. school closures, restrictions on mass gatherings) and population self-regulation (e.g. isolation, mask wearing, social distancing).  Upon initiation of projections, all counties with 10 or more confirmed cases impose a 20% contact rate reduction. Each week following, if a county newly exceeds 10 confirmed cases, a 20% contact rate reduction is imposed, depending on the projection scenario. Counties that had previously exceeded 10 confirmed cases and also experience an increase in the number of weekly reported confirmed cases impose a further, multiplicative 20% contact rate reduction, depending on the projection scenario. ",Supported by US NIH grant GM110748 and US NSF RAPID grant DMS2027369,https://doi.org/10.1101/2020.03.21.20040303,https://github.com/shaman-lab/COVID-19Projection,NA,NA,NA
Columbia University,scenario_low,CU-scenario_low,"Sen Pei, Teresa Yamana, Sasikiran Kandula, Wan Yang, Marta Galanti, Jeffrey Shaman <jls106@cumc.columbia.edu>",https://blogs.cuit.columbia.edu/jls106/publications/covid-19-findings-simulations/,apache-2.0,other,"We produce different intervention scenarios, assuming various interventions and rates of compliance are implemented in the future. This projection assumes relatively low transmission.",USAFACTS County-level confirmed cases and deaths,"This metapopulation county-level SEIR model makes projections of future COVID-19 incidence and deaths.  We produce a number of different intervention scenarios, each assuming various interventions and rates of compliance are implemented in the future.   The alternate model names below correspond with the filenames in our repository and visualizations. November 8 - present: '5_1xhold': This scenario assumes a one-time 5% increase in contact rates, which is applied at the start of the projection and maintained for one week.  After one week, the reproduction number R is set to 1 for the remainder of the projection. July19 - November 5 'reduce10': This scenario assumes a weekly 10% decrease in contact rates.   June 14 - July18  '5_2xhold': This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection.   May 3 - June 7 '80contact1x5p' : This scenario assumes a weekly 20% decrease in counties with growing weekly cases and stay-at-home orders in place, and a one-time 5% increase in states that have reopened. April 12 - April 26 '60contact': This scenario mimics adaptive adjustments in contact imposed both by government regulations (e.g. school closures, restrictions on mass gatherings) and population self-regulation (e.g. isolation, mask wearing, social distancing).  Upon initiation of projections, all counties with 10 or more confirmed cases impose a 40% contact rate reduction. Each week following, if a county newly exceeds 10 confirmed cases, a 40% contact rate reduction is imposed, depending on the projection scenario. Counties that had previously exceeded 10 confirmed cases and also experience an increase in the number of weekly reported confirmed cases impose a further, multiplicative 40% contact rate reduction, depending on the projection scenario. ",Supported by US NIH grant GM110748 and US NSF RAPID grant DMS2027369,https://doi.org/10.1101/2020.03.21.20040303,https://github.com/shaman-lab/COVID-19Projection,NA,NA,NA
